student_id,domain,gender,age,10th_marks,12th_marks,graduation_marks,backlogs,internship_done,projects_count,certifications_count,communication_skills,leadership_skills,teamwork_skills,problem_solving_skills,interest_area,python_score,java_score,cpp_score,javascript_score,sql_score,machine_learning_score,data_structures_score,networking_score,cloud_computing_score,cybersecurity_score,web_dev_score,devops_score,circuit_design_score,embedded_c_score,pcb_design_score,matlab_score,vhdl_verilog_score,iot_score,signal_processing_score,microcontrollers_score,robotics_score,communication_systems_score,power_electronics_score,cad_tools_score,cad_design_score,thermodynamics_score,fluid_mechanics_score,manufacturing_processes_score,strength_of_materials_score,autocad_score,ansys_score,robotics_automation_score,quality_management_score,automobile_engineering_score,cnc_programming_score,lean_manufacturing_score,accounting_score,financial_modeling_score,ms_excel_score,marketing_score,business_strategy_score,statistics_score,communication_score,data_analysis_score,erp_knowledge_score,supply_chain_score,hr_management_score,entrepreneurship_score,recommended_career
S1000,CS/IT,Male,24,50,45,45,2,1,4,1,3,5,3,5,Networking,8,7,9,5,4,1,8,5,6,5,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software Developer
S1001,Mechanical,Male,23,50,45,45,1,1,3,3,4,3,6,6,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,5,8,4,9,7,7,2,8,3,2,8,6,,,,,,,,,,,,,Robotics & Automation Engineer
S1002,Electronics,Female,23,50,45,53,4,0,2,1,4,4,6,7,Embedded Systems,,,,,,,,,,,,,3,6,6,5,6,4,7,6,8,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1003,Commerce,Prefer not to say,18,50,45,47,1,0,4,2,3,2,3,7,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,5,3,5,7,7,6,3,8,4,HR Manager
S1004,CS/IT,Prefer not to say,21,50,45,45,1,1,2,1,3,2,5,3,Cloud & DevOps,5,3,8,4,5,4,6,10,7,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud Engineer
S1005,Electronics,Male,25,50,45,45,3,1,2,2,7,2,3,7,Telecommunications,,,,,,,,,,,,,5,10,5,7,2,10,6,9,1,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,IoT Engineer
S1006,CS/IT,Male,18,50,45,50,2,0,2,1,3,6,3,4,Web Development,8,9,6,4,5,4,10,6,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software Developer
S1007,CS/IT,Female,20,50,45,45,3,0,5,3,4,6,6,3,Databases,10,5,4,5,4,9,7,6,4,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1008,Mechanical,Prefer not to say,22,50,45,47,4,1,2,1,3,6,2,4,Robotics,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,7,9,4,4,6,7,6,1,7,,,,,,,,,,,,,Quality Control Engineer
S1009,Electronics,Prefer not to say,19,50,45,45,2,0,5,2,4,3,3,2,Robotics,,,,,,,,,,,,,2,5,3,8,3,8,8,3,4,8,5,4,,,,,,,,,,,,,,,,,,,,,,,,,Signal Processing Engineer
S1010,Electronics,Prefer not to say,21,50,45,46,1,1,3,2,6,2,5,7,IoT,,,,,,,,,,,,,5,3,7,10,3,3,10,3,5,8,6,4,,,,,,,,,,,,,,,,,,,,,,,,,Signal Processing Engineer
S1011,CS/IT,Female,25,50,55,58,1,1,2,3,8,7,6,4,Networking,9,6,6,7,3,7,6,9,9,4,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud Engineer
S1012,Electronics,Female,18,50,45,45,4,0,5,3,6,6,6,5,Telecommunications,,,,,,,,,,,,,4,7,1,8,4,8,5,8,8,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1013,Commerce,Female,20,50,45,50,4,0,5,2,3,4,6,6,Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,10,4,7,7,6,9,6,5,2,3,Data Analyst (Business)
S1014,CS/IT,Prefer not to say,18,50,54,51,2,1,5,1,3,5,6,5,AI & ML,7,3,6,8,10,4,9,4,6,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1015,Commerce,Male,25,50,45,45,1,1,3,2,2,6,2,4,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,7,7,2,6,3,5,3,5,8,Marketing Manager
S1016,Commerce,Male,22,50,45,47,4,0,4,2,3,2,4,6,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,5,3,6,10,3,7,4,10,5,HR Manager
S1017,Commerce,Prefer not to say,25,50,45,45,3,1,3,2,4,5,7,5,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,8,5,5,8,7,10,4,5,8,5,Data Analyst (Business)
S1018,Mechanical,Male,22,50,50,49,2,0,2,3,4,3,5,3,CAD/CAM,,,,,,,,,,,,,,,,,,,,,,,,,6,9,9,2,4,5,7,5,7,3,4,4,,,,,,,,,,,,,Thermal Engineer
S1019,CS/IT,Prefer not to say,21,50,45,47,4,0,5,2,7,6,3,7,Databases,10,7,4,3,4,10,6,2,8,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1020,CS/IT,Prefer not to say,21,50,45,47,2,1,4,1,2,2,3,4,Cloud & DevOps,5,3,3,6,8,4,10,6,2,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1021,Mechanical,Prefer not to say,25,50,45,54,4,1,5,1,6,5,6,5,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,7,10,10,7,5,4,10,3,2,3,2,8,,,,,,,,,,,,,Thermal Engineer
S1022,CS/IT,Male,21,50,50,45,3,1,5,3,6,3,3,7,Networking,6,7,6,4,9,5,9,5,7,2,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1023,Electronics,Prefer not to say,20,50,45,50,3,1,4,1,5,5,7,7,Robotics,,,,,,,,,,,,,4,10,4,5,4,5,7,8,10,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1024,Commerce,Prefer not to say,23,50,50,45,4,1,2,3,4,6,4,4,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,9,8,6,6,4,6,7,5,8,Entrepreneur/Startup Founder
S1025,Mechanical,Male,22,50,45,45,2,0,5,3,3,3,3,2,Robotics,,,,,,,,,,,,,,,,,,,,,,,,,6,10,7,8,5,2,4,4,1,8,3,3,,,,,,,,,,,,,Automobile Engineer
S1026,Commerce,Male,21,50,51,48,3,1,4,1,6,5,3,7,Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,6,4,10,2,9,7,6,4,7,Data Analyst (Business)
S1027,CS/IT,Male,23,50,45,45,2,0,5,2,5,2,6,3,AI & ML,9,6,4,6,4,7,9,5,5,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1028,Electronics,Prefer not to say,24,50,45,45,1,0,5,1,2,3,6,4,Signal Processing,,,,,,,,,,,,,8,3,4,9,4,5,8,2,4,10,2,6,,,,,,,,,,,,,,,,,,,,,,,,,Telecom Engineer
S1029,Commerce,Female,19,50,50,45,1,1,3,1,7,3,3,7,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,4,9,7,5,7,3,7,3,6,4,Marketing Manager
S1030,Electronics,Male,19,50,45,45,2,1,2,3,2,5,4,5,Robotics,,,,,,,,,,,,,4,6,3,6,4,1,6,4,3,9,2,8,,,,,,,,,,,,,,,,,,,,,,,,,Telecom Engineer
S1031,CS/IT,Female,21,50,45,51,4,0,2,2,6,5,5,5,AI & ML,10,6,8,1,7,2,9,6,6,4,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software Developer
S1032,Commerce,Prefer not to say,25,50,45,45,3,0,4,3,3,5,6,7,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,6,10,5,6,6,7,5,5,3,Business Analyst
S1033,CS/IT,Prefer not to say,23,50,46,45,1,0,2,3,2,4,5,5,Web Development,7,4,5,3,3,7,6,5,7,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1034,Commerce,Male,25,50,45,45,5,1,2,3,6,4,2,5,Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,7,8,3,10,1,4,3,9,3,HR Manager
S1035,CS/IT,Male,24,50,45,45,3,1,2,3,3,7,7,4,Networking,7,3,8,10,5,4,4,6,4,2,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web Developer
S1036,Mechanical,Female,18,50,50,45,3,1,5,2,3,3,5,5,CAD Design,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,2,5,8,8,5,10,4,6,,,,,,,,,,,,,Automobile Engineer
S1037,CS/IT,Female,24,50,50,45,3,0,2,3,6,4,5,7,Networking,10,4,4,8,2,7,6,2,7,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1038,Electronics,Male,21,50,45,45,3,1,2,3,7,7,3,5,Telecommunications,,,,,,,,,,,,,5,8,6,6,3,9,6,9,3,7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,IoT Engineer
